PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
80,O,1,10,R,-33,Pass,,3,8,Complete,TRIO,A NOW,,33,2HI,C4,,,,Pacific University
95,O,1,10,R,32,Run,P-L,,8,Rush,TRIO,A NOW,,33,2HI,C1,,,,Pacific University
111,O,1,10,L,20,Run,P-R,,4,Rush,TRIO,A NOW,,33,2HI,C1,,,,Pacific University
178,O,2,4,L,-25,Run,,,-10,Penalty,TRIO,A NOW,,33,1HI,C3,,,,Pacific University
183,O,2,10,L,33,Run,P-R,,8,Rush,TRIO,A NOW,,33,2HI,C1,,,,Pacific University
186,O,2,8,R,18,Run,P-R,,3,Rush,TRIO,A NOW,,33,2HI,C1,,,,Pacific University
212,O,2,8,R,29,Run,C-R,,12,Rush,TRIO,A NOW,,33,2HI,C1,,,,Pacific University
215,O,3,1,L,8,Run,P-L,,7,Rush,TRIO,A NOW,,33,1HI,ZERO,,,,Pacific University
17,O,1,10,L,-33,Run,P-R,,2,Rush,TRIO,A NOW,,33,2HI,C3,,,,Willamette University
52,O,1,10,R,34,Run,P-L,,1,Rush,TRIO,A NOW,,33,2HI,C3,,,,Willamette University
57,O,1,5,L,5,Run,C-L,,2,Rush,TRIO,A NOW,,34,0,ZERO,4L,,,Willamette University
112,O,2,10,L,50,Run,P-R,,6,Rush,TRIO,A NOW,,33,2HI,C3,,,,Willamette University
143,O,1,10,L,20,Run,P-L,,5,Rush,TRIO,A NOW,,32,2HI,C3,,,,Willamette University
163,O,1,10,L,-42,,,,,Fumble,TRIO,A NOW,,52,0,ZERO,5L,,,Willamette University
18,O,1,10,,-48,Pass,,,8,,TRIO,A NOW,,42,2HI,C2,,,,Lewis & Clark College
35,O,2,2,,-25,Run,,,9,,TRIO,A NOW,,42,2HI,ROBBER,,,,Lewis & Clark College
41,O,1,10,,3,Run,,,1,,TRIO,A NOW,,51,0,ZERO,6O,,,Lewis & Clark College
181,O,1,10,,-9,Run,,,1,,TRIO,A NOW,,42,2HI,ROBBER,,,,Lewis & Clark College
167,O,2,5,,50,Run,,,1,,TRIO,A NOW,,33,2HI,C3,,,,Linfield College
26,O,1,10,L,17,Run,B-R,,12,Rush,TRIO,A NOW,,42,2HI,C4,,,,Chapman University
54,O,1,10,L,-28,Run,P-R,,4,Rush,TRIO,A NOW,,42,2HI,C4,,,,Chapman University
71,O,2,6,L,42,Run,C-L,,20,Rush,TRIO,A NOW,,42,2HI,C2,,,,Chapman University
76,O,3,1,R,1,Run,C-R,,1,TD,TRIO,A NOW,,42,1HI,ZERO,,,,Chapman University
89,O,2,4,R,-19,Run,C-R,,6,Rush,TRIO,A NOW,,33,2HI,3ROLL,,,,Chapman University
149,O,1,10,L,4,Run,C-L,,4,TD,TRIO,A NOW,,42,0,ZERO,,,,Chapman University
154,O,1,10,L,-26,Run,C-L,,5,Rush,TRIO,A NOW,,42,1HI,ROBBER,,,,Chapman University
3,O,2,11,R,-25,Run,C-R,,2,Rush,TRIO,A NOW,,42,1HI,C1,,,,University of La Verne
12,O,2,2,R,-38,Run,P-L,,1,Rush,TRIO,A NOW,,42,1HI,C1,,,,University of La Verne
58,O,3,2,L,26,Run,P-R,,8,Rush,TRIO,A NOW,,42,2HI,C1,5I,,,University of La Verne
97,O,2,3,L,-40,Pass,,1,8,Complete,TRIO,A NOW,,42,1HI,C3,,,,University of La Verne
100,O,1,10,R,36,Run,P-L,,1,Rush,TRIO,A NOW,,42,1HI,,,?,,University of La Verne
113,O,1,10,R,16,Pass,,3,1,Complete,TRIO,A NOW,,42,1HI,,,?,,University of La Verne
135,O,1,10,R,-30,Run,C-R,,3,Rush,TRIO,A NOW,,42,1HI,,,?,,University of La Verne
